Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Abroscopus_albogularis,5.475,2.5,2.1,43.5,15.6,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Abroscopus_schisticeps,5.5,2.875,2.25,49.5,16,4.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Abroscopus_superciliaris,6.5,2.7,2.7,50.75,17.15,6.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Acanthis_flavirostris,7.45,5.1,6.25,81,18.35,15.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Aceros_nipalensis,187,50.78,76.295,455,70.505,2385,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Aceros_undulatus,183,51.79,81.065,480,67.98,2232.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Acridotheres_fuscus,17.21,6.88,7.425,125.75,36.84,82.8,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Acridotheres_ginginianus,15.915,6.365,6.745,121.5,36.78,72,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acridotheres_grandis,17.125,7.51,8.06,140.5,40.03,98,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acridotheres_tristis,17.455,7.77,9.225,144,41.935,116.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acrocephalus_concinens,8.2,3.415,3.085,56,22.84,8.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Acrocephalus_stentoreus,16.53,5.495,4.955,86.75,30.835,24.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Actinodura_egertoni,9.1,4.1,4.85,82.5,30.3,36,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Actinodura_nipalensis,10.43333333,4.177777778,10.01111111,87,31.925,44,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Actinodura_waldeni,10.675,4.275,5.1,95.5,33.85,47.5,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Aegithalos_concinnus,4.9,2.525,3.25,52.5,17.2,6.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithalos_iouschistos,5.15,2.075,2.8,56.25,17.25,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithalos_leucogenys,4.516666667,2.583333333,3.35,57.33333333,19,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Aegithalos_niveogularis,5.55,2.2,3,60,18.25,7.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithina_tiphia,10.63,3.69,4.015,66.375,19.15,14.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Aegolius_funereus,NA,NA,NA,NA,NA,144,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Aerodramus_brevirostris,3,1.75,1.85,126.5,11.35,12.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Aethopyga_gouldiae,12.2,3.2,2.3,56,14,6.125,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_ignicauda,16.625,3.9,2.65,58,15.65,8.2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_nipalensis,16.65,3,3.1,54.5,16.1,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_saturata,15.95,3,3.1,52,14.55,5.3,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_siparaja,15.95,3.7,2.85,62,14.7,6.7,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Alauda_gulgula,11.225,4.54,4.85,90.25,24.72,26.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Alcedo_atthis,32.83,5.945,7.84,66.75,9.815,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcedo_hercules,48.25,7.86,11.14,98,10.48,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcedo_meninting,34.845,6.29,8.175,66,11.245,20.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcippe_nipalensis,7.263333333,3.083333333,3.8125,59.08333333,23,15.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Alcippe_poioicephala,7.95,3.425,4,66.5,21.35,20.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Alophoixus_flaveolus,11.28,4.75,6.585,103.5,22.3,45.65,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Amandava_amandava,8.1,4.95,5.355,47.75,13.965,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Ammomanes_deserti,NA,NA,NA,NA,NA,23.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ammomanes_phoenicurus,NA,NA,NA,NA,NA,25.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Anthracoceros_albirostris,126.94,37.605,79.83,300.5,59.72,786.75,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Anthus_hodgsoni,9.37,4.08,3.735,81.6,22.605,21.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Anthus_roseatus,9.105,3.205,3.235,90.5,23.435,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_rufulus,9.15,3.545,3.62,82.5,27.21,20.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_similis,11.67,4.48,4.665,98,28.245,25.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_sylvanus,10.36,4.385,5.01,81.5,23.5,31,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_trivialis,8.825,3.92,3.545,86.75,22.2,21.88,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Apus_acuticauda,5.95,4.65,2.65,182,14.4,46.25330183,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Apus_affinis,5.315,5.07,2.77,131,10.745,22.78,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Apus_apus,5.705,4.325,3.155,170.75,12.23,37.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Apus_pacificus,5.67,4.13,2.89,153.8,10.04,39.9,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Arachnothera_longirostra,31.59,5.2,4.563333333,64.16666667,16.2,12.55,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Arachnothera_magna,35.95,6.1,5.3,94.25,21.7,30.7,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Artamus_fuscus,13.175,7.7175,8.1075,133.875,17.1475,39.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Athene_brama,13.455,6.84,10.71,162.5,27.17,115,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Athene_noctua,13.45,7.605,11.35,160.5,25.375,172.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Batrachostomus_hodgsoni,12.265,14.735,5.735,115.5,15.56,51,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Blythipicus_pyrrhotis,36.45,9.35,11.3,148.5,26.5,132,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_hyperythra,7.5,2.7,3.4,62.5,30.225,16.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_leucophrys,7.65,2.96,3.1,57.75,27.85,15.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_montana,8.278,3.148,3.246,66.86,32.4425,17.7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Bradypterus_luteoventris,7.655,2.77,3.235,53,18.955,13.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_major,12.5,2.91,3.21,59.5,23.12,13.6492891,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_mandelli,6.92,2.67,2.7,53.5,19.075,11.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_thoracicus,7.25,2.45,2.775,55.5,20.25,10.8,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bubo_bengalensis,25.04,12.805,21.165,374,78.025,1100,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Bubo_bubo,25.325,17.8,24.7,383.5,76.4,2781.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bubo_coromandus,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bubo_nipalensis,32.715,16.47,26.21,400,59.24,1100,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Bucanetes_mongolicus,9.3,6.53,7.855,91.5,17.515,28.63374665,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Buceros_bicornis,268,55.96,120,532.5,87.89,2798.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Cacomantis_merulinus,13.015,5.445,4.985,115.5,20.95,25.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cacomantis_passerinus,14.275,6.3,6.19,115.55,18.265,25.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cacomantis_sonneratii,9.885,6.76,5.635,123.9,16.065,33.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Calandrella_acutirostris,9.55,4.365,4.92,94.5,21.5,20.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Calandrella_raytal,11.61,4.345,4.69,80.5,19.78,18.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Callacanthis_burtoni,11.195,8.04,8.66,98,20.25,29,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Caprimulgus_affinis,7.6,5.195,3.365,197,21.785,82,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Caprimulgus_asiaticus,NA,NA,NA,NA,NA,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Caprimulgus_europaeus,7.56,4.515,2.725,199.5,18.15,67,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Caprimulgus_jotaka,7.675,5.485,3.535,206,17.59,84,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Caprimulgus_macrurus,8.755,5.06,3.2,209.5,20.6,66.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Carduelis_carduelis,11.715,6.08,6.995,79.25,14.155,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Carduelis_spinoides,9.62,7.06,7.82,76.65,15.69,18.6,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Carpodacus_edwardsii,10.285,7.92,8.17,79.8,23.81,26.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_erythrinus,8.605,7.55,7.8,83.5,19.31,24,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Carpodacus_grandis,11.665,8.45,9.755,88.6,21.105,33.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_nipalensis,9.81,5.41,5.725,87.25,21.655,22.3,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Carpodacus_pulcherrimus,8.82,6.095,6.875,72.65,19.24,19.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_rhodochlamys,11.665,8.45,9.755,88.6,21.105,33.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Carpodacus_rodochroa,8,5.755,6.615,71.25,20.075,17.875,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Carpodacus_rodopeplus,10.33,7.77,8.755,81,23.54,23,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_rubescens,10.75,6.57,7.73,82,19.46,24.15,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_rubicilloides,12.14,9.13,10.74,105.75,23.485,42.05,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Carpodacus_severtzovi,11.65,8.545,10.2,118,23.155,43.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Carpodacus_thura,9.675,7.63,8.485,85.5,25.455,32.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Carpodacus_vinaceus,9.67,7.1,7.62,71,21.84,22.15,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Centropus_bengalensis,13.73,7.05,9.89,140.75,39.51,120,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Centropus_sinensis,22.68,8.84,14.575,203.5,53.195,252,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Cephalopyrus_flammiceps,6.4375,2.8,2.975,59.375,13.9,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cercomela_fusca,10.945,4.945,4.25,90.75,25.89,12.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Certhia_discolor,10.4,2.45,2.45,70.5,17.55,10.4,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Certhia_familiaris,11.73,2.025,2.725,70,17.7,9,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Certhia_himalayana,15.275,2.48,2.575,69,16.5,8.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Certhia_nipalensis,9.905,2.6,2.55,71,19.7,11.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Ceryle_lugubris,53.51,12.125,17.26,181.5,13.675,271.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ceryle_rudis,50.5,10.91,12.475,137.5,10.345,84.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cettia_brunnescens,6.466666667,2.233333333,2.183333333,52.66666667,21.85,5.95,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Cettia_brunnifrons,5.26,1.98,2.025,45.4,18.31666667,7.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Cettia_flavolivacea,6.4,2.583333333,2.2,57,22.72,8,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Cettia_fortipes,5.9,2.166666667,2.433333333,54.33333333,22.5,10.4,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Cettia_major,7.25,2.266666667,2.35,62.33333333,26.6,9.454257908,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Cettia_pallidipes,7,2.233333333,2.633333333,52,20.36666667,8.49,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Ceyx_erithaca,28.52,7.23,7.29,57,9.33,17.75,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Chaetornisstriatus,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Chaimarrornis_leucocephalus,8.72,3.34,3.58,94.8,31.48,40.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Chalcoparia_singalensis,9.85,2.85,3.25,54.5,17.75,8.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Chalcophaps_indica,11.765,3.61,4.415,150.8,26.27,121,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Chelidorhynx_hypoxantha,4.05,2.575,1.75,57.75,15.575,5.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Chloropsis_aurifrons,16.01,5.01,5.205,96.35,19.44,32.5,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Chloropsis_hardwickii,15.69,5.01,5.71,95.75,19.32,32.75,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Chrysococcyx_maculatus,12.41,5.29,5.055,107.5,19.59,24,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Chrysococcyx_xanthorhynchus,13.495,5.85,5.425,106.5,13.635,21,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Chrysocolaptes_lucidus,41.2,11.7,12.7,179,30.5,142,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Chrysomma_sinense,7.75,3.6,5.05,70,26.25,19.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cinclidium_frontale,9.315,3.15,3.815,93.5,27.9,25.4,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Cinclus_cinclus,12.595,3.655,4.32,98,30.12,61.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cinclus_pallasii,16.56,4.775,5.2,104.05,31.07,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cinnyris_asiaticus,14.65,3.15,3.05,57.5,15.7,8.1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Cissa_chinensis,25.5975,11.335,13.8725,148.75,46.2925,126.75,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Cisticola_exilis,7.41,2.91,2.425,46.45,19.415,7.05,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cisticola_juncidis,7.61,2.645,2.695,50.95,19.035,6.85,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Clamator_coromandus,22.295,9.075,9.365,161.55,25.67,77,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Clamator_jacobinus,17.22,6.375,8.245,147.2,26.295,72,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cochoa_purpurea,10,6,5.7,140,27.8,103,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Cochoa_viridis,11.4,6.8,5.9,142,30.2,106.75,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Coloeus_monedula,23.1425,11.38,13.61,239.7666667,44.2,246,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Columba_hodgsonii,12.07333333,4.623333333,5.27,222.6666667,24.74333333,310.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Columba_leuconota,15.25,5.25,4.8,229.5,31.25,284.75,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Columba_livia,17,6.025,6.375,225.5,31,354.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Columba_palumbus,13.325,5.95,5.975,261.5,26.25,490,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Columba_pulchricollis,12.9825,5.595,5.6775,203.075,25.3725,330,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Columba_rupestris,10.18,3.95,4.3,229,28.1,245.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Conostoma_oemodium,17.2,9.075,12,132,41.8,84,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Copsychus_malabaricus,11.82,4.2,4.95,92.5,26.14,29.35,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Copsychus_saularis,13.21428571,4.6,5.25,100.125,31.75,36,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Coracias_benghalensis,28.935,11.58,14.575,191.5,28.265,158,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Coracias_garrulus,27.905,10.485,13.735,198.5,24.975,146,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Coracina_macei,18.665,11.635,10.94,170,26.85,118,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Coracina_melanoptera,11.11,4.975,5.44,100.5,18.55,29.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Coracina_melaschistos,12.7575,6.23,6.065,118.5,21.81,43,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Corvus_corax,42.2,20.21,24.81,421,65,941,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Corvus_corone,36.695,14.905,19.055,335,55.25,570,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Corvus_culminatus,40.65,15.5,21.45,291,53.55,336,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Corvus_japonensis,38.305,15.775,22.045,337.5,57.05,487,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Corvus_levaillantii,43,15.95,22.45,311,57.4,487,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Corvus_splendens,33.3775,14.1825,18.28,277.875,49.5975,293.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Cuculus_canorus,16.065,7.285,7.895,218.4,20.14,115,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cuculus_micropterus,20.025,7.845,9.13,197.05,19.44,119,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cuculus_poliocephalus,14.115,6.1,6.03,147.55,15.89,47.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cuculus_saturatus,17.3,7.27,8.235,185.85,17.29,90.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Culicicapa_ceylonensis,6.2,3.525,2.49,62.5,13.8,7.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Cutia_nipalensis,12.15,4.7,6,94.75,34.95,47.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Cyornis_banyumas,NA,NA,NA,NA,NA,14.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cyornis_magnirostris,10.95,5.6,4.4,81.5,19,18.71331583,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Cyornis_poliogenys,8.9,4.714285714,3.762857143,73.85714286,19.4625,15.7,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cyornis_rubeculoides,8.44,4.433333333,3.65,71.5,17.34,14.2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cyornis_tickelliae,8.15,4.25,3.7,72.75,19.15,14.6,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cyornis_unicolor,9.575833333,4.989166667,3.970833333,81.16666667,17.56,21,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Cypsiurus_balasiensis,3.28,2.955,1.87,112.5,11.26,9.2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Delichon_dasypus,4.96,3.305,2.225,100,11.85,18,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Delichon_nipalense,4.4,3.25,2.85,92,10.925,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Delichon_urbicum,4.766666667,4.266666667,3.216666667,108.3333333,11.1,14.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Dendrocitta_formosae,22.7525,11.7925,14.3125,138.8,30.115,94,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Dendrocitta_frontalis,21.235,11.475,14.645,133.75,29.835,97,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Dendrocitta_vagabunda,21.3425,11.4775,14.305,154.25,36,100,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Dendrocopos_assimilis,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dendrocopos_auriceps,17.85,6.05,5.7,114,19.1,40,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Dendrocopos_canicapillus,12.7,4.7,5.1,87.5,14.95,25.9,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dendrocopos_cathpharius,14.2,4.95,5.35,100.75,17.2,31,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dendrocopos_darjellensis,28.125,9.055,7.4,133,23.75,71,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dendrocopos_himalayensis,20.65,6.95,7.1,123.5,24.29,68,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Dendrocopos_macei,20.4,6.3,6.4,108.75,18.575,40.6,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Dendrocopos_mahrattensis,NA,NA,NA,NA,NA,34.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dendrocopos_nanus,13.185,4.79,4.555,78.05,14.19,15.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Dicaeum_agile,5.825,3.1,3.65,60.25,13.725,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_chrysorrheum,7.55,3.4,3.45,59,14.7,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_cruentatum,7.4,2.875,2.9,49.75,12.225,6.2,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_erythrorhynchos,7.35,3.3,3.3,49.5,12.95,6.3,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_ignipectus,6.7,3.415,2.87,48.5,12.35,5.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_melanoxanthum,6,3.8,3.65,73.5,16,12.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicaeum_minullum,6.7,2.8,2.8,45.25,12.35,5.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dicrurus_aeneus,14.01,8.1425,6.1325,126.1,15.3825,23.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dicrurus_annectans,15.35,9.8875,9.28,145,20.9425,44,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dicrurus_caerulescens,15.645,8.695,8.2825,131.325,20.6,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dicrurus_hottentottus,25.6375,10.575,11.1575,152.55,25.2775,79.2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Dicrurus_leucophaeus,18.2075,9.0875,9.1,142.5,18.6225,37.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dicrurus_macrocercus,16.7,8.555,8.8875,150.575,23.4225,48.3,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Dicrurus_paradiseus,25.3225,11.0975,12.84,170,29.475,71,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dicrurus_remifer,16.3975,8.415,8.81,143,20.5125,43.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dinopium_benghalense,28.6,8.6,9.75,152.5,27,100,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Dinopium_shorii,29.5,8.8,9.5,162,27.65,101,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Dryonastes_caerulatus,16.33,5.98,6.945,109.5,41.35,86,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Dryonastes_gularis,21.08,6.805,8.065,103.25,39.64,92,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Dryonastes_ruficollis,15.41,5.495,6.85,108,36.79,66.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Ducula_aenea,17.56,7.78,6.62,232,31.335,545,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Ducula_badia,16.965,9.015,8.43,240.25,28.935,486,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Dumetia_hyperythra,8.34,3.455,4.545,57.6,20.05,12.9,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Emberiza_buchanani,9.265,4.94,5.2,87.5,19.1,21.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Emberiza_cia,8.56,4.545,5.475,82.15,20.11,23.45,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Emberiza_fucata,8.045,5.91,5.855,72.9,22.16,19.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Emberiza_godlewskii,8.375,4.1,5.7,88.5,23.6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
